MWE, MWE_mean,MWE_std, Word1_mean,Word1_std, Word2_mean,Word2_std, Word3_mean,Word3_std, Word4_mean,Word4_std, Word5_mean, Word5_std,
[ha] [någon] på tråden, 3.3333333333333335,1.2472191289246473, n/a, n/a, n/a, n/a, n/a, n/a, 3.167, 1.302, n/a, n/a 
[ha] [något] på tungan, 3.3125,1.2103072956898178, n/a, n/a, n/a, n/a, n/a, n/a, 3.062, 1.298, n/a, n/a 
[ha] händerna fulla, 3.210526315789474,1.4718033109589013, n/a, n/a, 2.421, 1.786, 2.368, 1.661, n/a, n/a, n/a, n/a 
[något] att hänga i julgranen, 4.533333333333333,0.8844332774281067, n/a, n/a, n/a, n/a, 4.133, 1.204, n/a, n/a, 4.267, 1.436 
bakom galler, 1.9,1.4106735979665883, n/a, n/a, 2.35, 1.492, n/a, n/a, n/a, n/a, n/a, n/a 
betala för kalaset, 2.411764705882353,1.0323487514578966, 0.941, 0.998, n/a, n/a, 3.059, 1.589, n/a, n/a, n/a, n/a 
bita i det sura äpplet, 4.777777777777778,0.5328701692569688, 4.167, 0.833, n/a, n/a, n/a, n/a, 4.111, 0.737, 4.389, 1.161 
blotta sig, 2.588235294117647,1.2860712417103204, 2.882, 1.49, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a 
blotta strupen, 3.85,0.852936105461599, 2.6, 1.158, 3.9, 1.513, n/a, n/a, n/a, n/a, n/a, n/a 
brinna av iver, 3.85,0.852936105461599, 4.4, 0.917, n/a, n/a, 0.85, 1.108, n/a, n/a, n/a, n/a 
dagens sanning, 2.0,1.4142135623730951, 2.188, 1.509, 1.0, 1.118, n/a, n/a, n/a, n/a, n/a, n/a 
det fina i kråksången, 4.153846153846154,1.3499945211372495, n/a, n/a, 1.692, 1.588, n/a, n/a, 4.308, 1.323, n/a, n/a 
eld i baken, 4.6875,0.46351240544347894, 4.562, 0.496, n/a, n/a, 4.5, 0.612, n/a, n/a, n/a, n/a 
enligt konstens alla regler, 3.1333333333333333,1.3097921802925667, 0.733, 0.929, 3.333, 1.135, n/a, n/a, 1.867, 1.36, n/a, n/a 
fara åt helvete, 4.2105263157894735,1.0552598766191275, 3.053, 1.468, n/a, n/a, 3.842, 1.598, n/a, n/a, n/a, n/a 
femte hjulet, 4.421052631578948,0.6740130776245103, 3.053, 1.605, 3.632, 1.596, n/a, n/a, n/a, n/a, n/a, n/a 
fjärilar i magen, 4.25,1.0428326807307104, 4.5, 1.072, n/a, n/a, 2.15, 1.526, n/a, n/a, n/a, n/a 
fullt hus, 2.0,0.9354143466934853, 0.875, 0.927, 1.875, 0.992, n/a, n/a, n/a, n/a, n/a, n/a 
föra [någon] bakom ljuset, 3.9411764705882355,1.2112506048220002, 2.706, 1.446, n/a, n/a, n/a, n/a, 4.059, 0.998, n/a, n/a 
förlora ansiktet, 4.454545454545454,0.6555547773570889, 3.318, 1.061, 4.318, 0.972, n/a, n/a, n/a, n/a, n/a, n/a 
föröka sig, 1.6666666666666667,1.5347819244295118, 1.533, 1.454, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a 
ge [någon] sparken, 4.0,1.118033988749895, 2.312, 1.685, n/a, n/a, 4.375, 0.857, n/a, n/a, n/a, n/a 
gnissla med tänderna, 2.1666666666666665,1.4624940645653537, 2.583, 1.605, n/a, n/a, 1.833, 1.518, n/a, n/a, n/a, n/a 
gå i fällan, 3.05,1.16081867662439, 2.65, 1.492, n/a, n/a, 2.85, 1.276, n/a, n/a, n/a, n/a 
gå i kras, 2.9375,1.71277370075559, 2.875, 2.088, n/a, n/a, 2.25, 1.75, n/a, n/a, n/a, n/a 
gå in i väggen, 4.5,0.6871842709362768, 3.889, 1.37, n/a, n/a, n/a, n/a, 4.167, 1.344, n/a, n/a 
gå sin egen väg, 3.1666666666666665,1.4240006242195884, 2.833, 1.462, n/a, n/a, 1.778, 1.652, 3.278, 1.483, n/a, n/a 
gå vidare, 3.0,1.0583005244258363, 3.16, 1.317, 2.16, 1.541, n/a, n/a, n/a, n/a, n/a, n/a 
